key,name,iata-code,operational-scope,city,country,web-site,email-address,contact-phone-number
# base-entity
airport-00,Lorem,ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
# name - standard variations
airport-01,L,ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-02,Lo,ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod te",ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tem",ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-05,โลเร็ม อิปซัม,ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-06,لوريم إيبسوم,ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-07,洛伦·伊普森,ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-08,<marquee>Hacked</marquee>,ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-09,<script>alert('Hacked!');</script>,ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-10,' or 'A' = 'A,ABC,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
# name - no singular values
# iata-code - standard variations
airport-11,Lorem,WCD,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-12,Lorem,UJS,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
airport-13,Lorem,RAK,INTERNATIONAL,Lorem,Lorem,"http://lorem.com/ipsum","acme@lorem-ipsum.org",+123456
